,Captions,Seed_Value
0,A man with a beard and a beard is smiling.,289
1,A man with glasses and a tie is smiling..,639
2,A woman with long hair and a haircut smiling.,258
3,A woman with a blue knitted hat and a blue knitted hat.,761
4,A man with glasses and a tie is smiling. blue knitted hat.,300
5,A woman with a haircut looking at the camera. knitted hat.,476
6,A man with a beard and a beard is smiling. knitted hat.,804
7,A woman with glasses and a glasses on. smiling. knitted hat.,17
8,A close up of a person wearing a shirt and tie knitted hat.,920
9,A woman with glasses and a tie is smiling. tie knitted hat.,552
10,A little girl with a beard and a tie on tie knitted hat.,133
11,A close up of a person wearing a shirt and tie knitted hat.,694
12,A little girl with a purple knit hat on. tie knitted hat.,645
13,A close up of a person wearing a shirt and tie knitted hat.,583
14,A woman with a smile on her face with a man in the background.,224
15,A woman with a tie and a shirt. a man in the background.,878
16,A woman with long hair and a haircut. man in the background.,555
17,A man with a beard and a beard on his face. the background.,927
18,A woman with a beard and a tie on. face. the background.,693
19,A young boy with a beard and a beard. face. the background.,134
20,A girl with long hair and a beard.. face. the background.,642
21,A baby wearing a blue shirt and a blue tie.. the background.,223
22,A little girl with a tie and a red tie.. the background.,584
23,A young boy with a blue shirt and a blue tie. the background.,529
24,A close up of a child with a toothbrush in its mouth background.,148
25,A woman with long hair and a haircut. in its mouth background.,199
26,A man with a beard and a beard is smiling. its mouth background.,766
27,A woman with a haircut looking at the camera. its mouth background.,307
28,A woman with a red tie and a pink face. its mouth background.,803
29,A close up of a person wearing a shirt and tie its mouth background.,471
30,A woman with long hair and a beard. and tie its mouth background.,10
31,A young boy wearing a green vest and tie. tie its mouth background.,929
32,A man with a beard and a beard on his head. mouth background.,714
33,A man with glasses and a beard is smiling. head. mouth background.,375
34,A young boy with a beard and a beard. head. mouth background.,871
35,A man with a beard and a beard is smiling.. mouth background.,403
36,A close up of a person with a hair brush.. mouth background.,62
37,A woman with long hair and a beard. brush.. mouth background.,527
38,A man with a blue hat and a necklace on his head. background.,955
39,A woman with a bow tie and a bow. his head. background.,280
40,A man with glasses and a tie is smiling. his head. background.,146
41,A woman with a beard and glasses is smiling. his head. background.,197
42,A woman with long hair and a beard smiling. his head. background.,630
43,A man with a beard and a beard is smiling. head. background.,984
44,A man with a beard and a beard is smiling. head. background.,251
45,A woman with glasses and a tie on. smiling. head. background.,768
46,A woman with glasses and a necklace is smiling.. head. background.,309
47,A woman with glasses and a tie on... head. background.,287
48,A little girl wearing a pink tie and a purple flower.. background.,952
49,A woman with long hair and a haircut. flower.. background.,520
50,A man with a beard and a beard is smiling... background.,141
51,A woman with a beard and a beard. smiling... background.,637
52,A woman with long hair and a long hair.... background.,190
53,A man with a beard and a beard is looking at the camera..,256
54,A woman with a pink hair and a red hair. the camera..,983
55,A woman with a haircut looking at the camera. the camera..,478
56,A woman with glasses and a tie is looking at the camera...,19
57,A woman with a ponytail on her head. at the camera...,713
58,A man with a beard and a beard is smiling. camera...,372
59,A man with a beard and a beard wearing a tie....,404
